Line,Staff,DateTime_Out,DateTime_Out2
1,3,2018-03-13 14:00:00,2018-03-13 23:00:00
1,3,2018-03-13 22:00:00,2018-03-14 06:00:00
1,3,2018-03-14 06:00:00,2018-03-14 15:00:00
1,3,2018-03-14 14:00:00,2018-03-14 23:00:00
1,3,2018-03-14 22:00:00,2018-03-15 06:00:00
1,3,2018-03-15 06:00:00,2018-03-15 15:00:00
1,3,2018-03-15 14:00:00,2018-03-15 22:00:00
1,4,2018-03-15 22:00:00,2018-03-15 23:00:00
1,4,2018-03-15 22:00:00,2018-03-16 06:00:00
1,4,2018-03-16 06:00:00,2018-03-16 15:00:00
1,4,2018-03-16 14:00:00,2018-03-16 23:00:00
1,4,2018-03-16 22:00:00,2018-03-17 06:00:00
1,4,2018-03-17 06:00:00,2018-03-17 15:00:00
1,4,2018-03-17 14:00:00,2018-03-17 23:00:00
1,4,2018-03-17 22:00:00,2018-03-18 06:00:00
1,4,2018-03-18 06:00:00,2018-03-18 15:00:00
1,4,2018-03-18 14:00:00,2018-03-18 23:00:00
1,3,2018-03-18 22:00:00,2018-03-18 23:00:00
1,3,2018-03-18 22:00:00,2018-03-19 06:00:00
1,4,2018-03-18 22:00:00,2018-03-19 06:00:00
1,3,2018-03-19 06:00:00,2018-03-19 15:00:00
1,4,2018-03-19 06:00:00,2018-03-19 15:00:00
1,3,2018-03-19 14:00:00,2018-03-19 23:00:00
1,4,2018-03-19 14:00:00,2018-03-19 23:00:00
1,3,2018-03-19 22:00:00,2018-03-20 06:00:00
1,4,2018-03-19 22:00:00,2018-03-20 06:00:00
1,3,2018-03-20 06:00:00,2018-03-20 15:00:00
1,4,2018-03-20 06:00:00,2018-03-20 15:00:00
1,3,2018-03-20 14:00:00,2018-03-20 23:00:00
1,4,2018-03-20 14:00:00,2018-03-20 23:00:00
1,3,2018-03-20 22:00:00,2018-03-21 02:00:00
1,4,2018-03-20 22:00:00,2018-03-21 06:00:00
1,1,2018-03-21 02:00:00,2018-03-21 06:00:00
1,1,2018-03-21 06:00:00,2018-03-21 06:00:00
1,4,2018-03-21 06:00:00,2018-03-21 06:00:00
1,3,2018-03-21 06:00:00,2018-03-21 15:00:00
1,3,2018-03-21 14:00:00,2018-03-21 23:00:00
1,3,2018-03-21 22:00:00,2018-03-22 06:00:00
1,3,2018-03-22 06:00:00,2018-03-22 15:00:00
1,3,2018-03-22 14:00:00,2018-03-22 23:00:00
1,3,2018-03-22 22:00:00,2018-03-23 06:00:00
1,3,2018-03-23 06:00:00,2018-03-23 15:00:00
1,4,2018-03-23 06:00:00,2018-03-23 15:00:00
1,3,2018-03-23 14:00:00,2018-03-23 23:00:00
1,4,2018-03-23 14:00:00,2018-03-23 15:00:00
1,1,2018-03-23 15:00:00,2018-03-23 23:00:00
1,1,2018-03-23 22:00:00,2018-03-24 06:00:00
1,3,2018-03-23 22:00:00,2018-03-24 06:00:00
1,1,2018-03-24 06:00:00,2018-03-24 15:00:00
1,3,2018-03-24 06:00:00,2018-03-24 15:00:00
1,1,2018-03-24 14:00:00,2018-03-24 23:00:00
1,3,2018-03-24 14:00:00,2018-03-24 23:00:00
1,1,2018-03-24 22:00:00,2018-03-25 06:00:00
1,3,2018-03-24 22:00:00,2018-03-25 06:00:00
1,1,2018-03-25 06:00:00,2018-03-25 15:00:00
1,3,2018-03-25 06:00:00,2018-03-25 15:00:00
1,1,2018-03-25 14:00:00,2018-03-25 23:00:00
1,3,2018-03-25 14:00:00,2018-03-25 23:00:00
1,1,2018-03-25 22:00:00,2018-03-26 06:00:00
1,3,2018-03-25 22:00:00,2018-03-26 06:00:00
1,1,2018-03-26 06:00:00,2018-03-26 15:00:00
1,3,2018-03-26 06:00:00,2018-03-26 15:00:00
1,1,2018-03-26 14:00:00,2018-03-26 23:00:00
1,3,2018-03-26 14:00:00,2018-03-26 17:00:00
1,4,2018-03-26 17:00:00,2018-03-26 23:00:00
1,1,2018-03-26 22:00:00,2018-03-27 06:00:00
1,4,2018-03-26 22:00:00,2018-03-27 06:00:00
1,1,2018-03-27 06:00:00,2018-03-27 07:00:00
1,4,2018-03-27 06:00:00,2018-03-27 15:00:00
1,3,2018-03-27 07:00:00,2018-03-27 15:00:00
1,3,2018-03-27 14:00:00,2018-03-27 23:00:00
1,4,2018-03-27 14:00:00,2018-03-27 23:00:00
1,3,2018-03-27 22:00:00,2018-03-28 06:00:00
1,4,2018-03-27 22:00:00,2018-03-28 06:00:00
1,3,2018-03-28 06:00:00,2018-03-28 15:00:00
1,4,2018-03-28 06:00:00,2018-03-28 15:00:00
1,3,2018-03-28 14:00:00,2018-03-28 23:00:00
1,4,2018-03-28 14:00:00,2018-03-28 23:00:00
1,3,2018-03-28 22:00:00,2018-03-29 06:00:00
1,4,2018-03-28 22:00:00,2018-03-29 06:00:00
1,3,2018-03-29 06:00:00,2018-03-29 15:00:00
1,4,2018-03-29 06:00:00,2018-03-29 15:00:00
1,3,2018-03-29 14:00:00,2018-03-29 23:00:00
1,4,2018-03-29 14:00:00,2018-03-29 23:00:00
1,3,2018-03-29 22:00:00,2018-03-30 06:00:00
1,4,2018-03-29 22:00:00,2018-03-30 06:00:00
1,3,2018-03-30 06:00:00,2018-03-30 15:00:00
1,4,2018-03-30 06:00:00,2018-03-30 15:00:00
1,3,2018-03-30 14:00:00,2018-03-30 23:00:00
1,4,2018-03-30 14:00:00,2018-03-30 23:00:00
1,3,2018-03-30 22:00:00,2018-03-31 06:00:00
1,4,2018-03-30 22:00:00,2018-03-31 06:00:00
1,3,2018-03-31 06:00:00,2018-03-31 15:00:00
1,4,2018-03-31 06:00:00,2018-03-31 15:00:00
