Line,Staff,StartTime,EndTime
1,3,2018-02-23 06:30:03,2018-02-23 15:00:03
1,3,2018-02-23 14:50:03,2018-02-23 23:00:03
1,3,2018-02-23 22:50:03,2018-02-24 06:40:03
1,3,2018-02-24 06:30:03,2018-02-24 15:00:03
1,3,2018-02-24 14:50:03,2018-02-24 23:00:03
1,3,2018-02-24 22:50:03,2018-02-25 06:40:03
1,3,2018-02-25 06:30:03,2018-02-25 15:00:03
1,3,2018-02-25 14:50:03,2018-02-25 23:00:03
1,3,2018-02-25 22:50:03,2018-02-26 06:40:03
1,3,2018-02-26 06:30:03,2018-02-26 15:00:03
1,3,2018-02-26 14:50:03,2018-02-26 23:00:03
1,3,2018-02-26 22:50:03,2018-02-27 06:40:00
1,4,2018-02-27 00:18:38,2018-02-27 04:59:56
1,3,2018-02-27 06:30:03,2018-02-27 15:00:03
1,3,2018-02-27 14:50:03,2018-02-27 23:00:00
1,4,2018-02-27 19:40:08,2018-02-27 23:00:00
1,3,2018-02-27 22:50:03,2018-02-28 06:40:03
1,4,2018-02-27 22:50:04,2018-02-28 06:40:04
1,3,2018-02-28 06:30:03,2018-02-28 15:00:03
1,4,2018-02-28 06:30:04,2018-02-28 15:00:04
1,3,2018-02-28 14:50:03,2018-02-28 23:00:03
1,4,2018-02-28 14:50:04,2018-02-28 23:00:04
1,3,2018-02-28 22:50:03,2018-03-01 06:40:03
1,4,2018-02-28 22:50:04,2018-03-01 06:40:04
1,3,2018-03-01 06:30:03,2018-03-01 15:00:03
1,4,2018-03-01 06:30:04,2018-03-01 15:00:04
1,3,2018-03-01 14:50:03,2018-03-01 23:00:03
1,4,2018-03-01 14:50:04,2018-03-01 23:00:04
1,3,2018-03-01 22:50:03,2018-03-02 06:40:03
1,4,2018-03-01 22:50:04,2018-03-02 06:40:04
1,3,2018-03-02 06:30:03,2018-03-02 15:00:03
1,4,2018-03-02 06:30:04,2018-03-02 15:00:04
1,3,2018-03-02 14:50:03,2018-03-02 23:00:03
1,4,2018-03-02 14:50:04,2018-03-02 23:00:04
1,3,2018-03-02 22:50:03,2018-03-03 06:40:03
1,4,2018-03-02 22:50:04,2018-03-03 06:40:04
1,3,2018-03-03 06:30:03,2018-03-03 10:22:30
1,4,2018-03-03 06:30:04,2018-03-03 15:00:00
1,5,2018-03-03 10:22:35,2018-03-03 15:00:00
1,4,2018-03-03 14:50:04,2018-03-03 16:11:26
1,5,2018-03-03 14:50:05,2018-03-03 22:58:44
1,1,2018-03-03 16:11:27,2018-03-03 22:58:44
1,3,2018-03-03 16:11:29,2018-03-03 22:58:44
1,1,2018-03-03 22:50:01,2018-03-03 22:58:44
1,3,2018-03-03 22:50:03,2018-03-03 22:58:44
1,5,2018-03-03 22:50:05,2018-03-03 22:58:44
1,4,2018-03-03 22:58:50,2018-03-04 06:40:00
1,4,2018-03-04 06:30:04,2018-03-04 15:00:04
1,4,2018-03-04 14:50:04,2018-03-04 23:00:04
1,4,2018-03-04 22:50:04,2018-03-05 06:40:04
1,4,2018-03-05 06:30:04,2018-03-05 15:00:00
1,5,2018-03-05 06:42:19,2018-03-05 15:00:00
1,4,2018-03-05 14:50:04,2018-03-05 22:50:26
1,5,2018-03-05 14:50:05,2018-03-05 22:50:26
1,4,2018-03-05 22:50:04,2018-03-05 22:50:26
1,5,2018-03-05 22:50:05,2018-03-05 22:50:26
