DateTime_Out,Error_Count,Sum_Duration,Line
2018-01-13 02:00:00,17,130,3
2018-01-13 02:00:00,25,258,4
2018-01-13 03:00:00,12,170,3
2018-01-13 03:00:00,33,442,4
2018-01-13 04:00:00,17,242,3
2018-01-13 04:00:00,22,276,4
2018-01-13 05:00:00,12,88,3
2018-01-13 05:00:00,34,328,4
2018-01-13 06:00:00,11,144,3
2018-01-13 06:00:00,37,384,4
2018-01-13 07:00:00,16,174,3
2018-01-13 07:00:00,33,376,4
2018-01-13 08:00:00,16,176,3
2018-01-13 08:00:00,29,234,4
2018-01-13 09:00:00,22,202,3
2018-01-13 09:00:00,25,304,4
2018-01-13 10:00:00,12,124,3
2018-01-13 10:00:00,20,202,4
2018-01-13 11:00:00,10,164,3
2018-01-13 11:00:00,17,122,4
2018-01-13 12:00:00,28,294,3
2018-01-13 12:00:00,14,158,4
2018-01-13 13:00:00,23,284,3
2018-01-13 13:00:00,24,214,4
2018-01-13 14:00:00,26,588,3
2018-01-13 14:00:00,21,248,4
2018-01-13 15:00:00,10,166,3
2018-01-13 15:00:00,35,306,4
2018-01-13 16:00:00,9,100,3
2018-01-13 16:00:00,25,180,4
2018-01-13 17:00:00,12,168,3
2018-01-13 17:00:00,40,362,4
2018-01-13 18:00:00,10,150,3
2018-01-13 18:00:00,18,154,4
2018-01-13 19:00:00,13,252,3
2018-01-13 19:00:00,24,442,4
2018-01-13 20:00:00,25,416,3
2018-01-13 20:00:00,21,150,4
2018-01-13 21:00:00,12,134,3
2018-01-13 21:00:00,22,228,4
2018-01-13 22:00:00,4,44,3
2018-01-13 22:00:00,23,1342,4
2018-01-13 23:00:00,6,98,3
2018-01-13 23:00:00,37,532,4
2018-01-14 00:00:00,14,128,3
2018-01-14 00:00:00,22,1078,4
2018-01-14 01:00:00,7,100,3
2018-01-14 01:00:00,19,196,4
2018-01-14 02:00:00,10,126,3
2018-01-14 02:00:00,18,476,4
2018-01-14 03:00:00,10,250,3
2018-01-14 03:00:00,17,164,4
2018-01-14 04:00:00,14,216,3
2018-01-14 04:00:00,26,112,4
2018-01-14 05:00:00,10,154,3
2018-01-14 05:00:00,36,432,4
2018-01-14 06:00:00,18,290,3
2018-01-14 06:00:00,23,804,4
2018-01-14 07:00:00,21,288,3
2018-01-14 07:00:00,18,1284,4
2018-01-14 08:00:00,28,362,3
2018-01-14 08:00:00,18,182,4
2018-01-14 09:00:00,16,104,3
2018-01-14 09:00:00,13,186,4
2018-01-14 10:00:00,24,422,3
2018-01-14 10:00:00,27,148,4
2018-01-14 11:00:00,11,114,3
2018-01-14 11:00:00,20,166,4
2018-01-14 12:00:00,12,154,3
2018-01-14 12:00:00,22,152,4
2018-01-14 13:00:00,11,2434,3
2018-01-14 13:00:00,13,2550,4
2018-01-14 14:00:00,8,54,3
2018-01-14 14:00:00,10,68,4
2018-01-14 15:00:00,21,184,3
2018-01-14 15:00:00,19,150,4
2018-01-14 16:00:00,9,134,3
2018-01-14 16:00:00,11,138,4
2018-01-14 17:00:00,15,174,3
2018-01-14 17:00:00,10,102,4
2018-01-14 18:00:00,13,7108,3
2018-01-14 18:00:00,25,468,4
2018-01-14 19:00:00,5,36,4
2018-01-14 20:00:00,1,5008,3
2018-01-14 20:00:00,29,278,4
2018-01-14 21:00:00,1,1696,3
2018-01-14 21:00:00,11,140,4
2018-01-14 22:00:00,1,9462,3
2018-01-14 22:00:00,22,8556,4
2018-01-15 00:00:00,1,2636,3
2018-01-15 00:00:00,2,2204,4
2018-01-15 01:00:00,39,468,3
2018-01-15 01:00:00,37,854,4
2018-01-15 02:00:00,53,854,3
2018-01-15 02:00:00,49,440,4
2018-01-15 03:00:00,34,536,3
2018-01-15 03:00:00,17,78,4
2018-01-15 04:00:00,18,162,3
2018-01-15 04:00:00,23,380,4
2018-01-15 05:00:00,16,232,3
2018-01-15 05:00:00,24,168,4
2018-01-15 06:00:00,22,366,3
2018-01-15 06:00:00,25,214,4
2018-01-15 07:00:00,29,374,3
2018-01-15 07:00:00,35,524,4
2018-01-15 08:00:00,29,410,3
2018-01-15 08:00:00,36,240,4
2018-01-15 09:00:00,29,2470,3
2018-01-15 09:00:00,26,258,4
2018-01-15 10:00:00,26,434,3
2018-01-15 10:00:00,29,320,4
2018-01-15 11:00:00,26,262,3
2018-01-15 11:00:00,15,156,4
2018-01-15 12:00:00,13,216,3
2018-01-15 12:00:00,16,108,4
2018-01-15 13:00:00,20,440,3
2018-01-15 13:00:00,8,60,4
2018-01-15 14:00:00,19,380,3
2018-01-15 14:00:00,21,228,4
2018-01-15 15:00:00,11,2826,3
2018-01-15 15:00:00,5,98,4
2018-01-15 16:00:00,19,644,3
2018-01-15 16:00:00,25,674,4
2018-01-15 17:00:00,17,234,3
2018-01-15 17:00:00,29,306,4
2018-01-15 18:00:00,9,120,3
2018-01-15 18:00:00,9,38,4
2018-01-15 19:00:00,20,248,3
2018-01-15 19:00:00,7,70,4
2018-01-15 20:00:00,10,142,3
2018-01-15 20:00:00,58,432,4
2018-01-15 21:00:00,23,268,3
2018-01-15 21:00:00,22,124,4
2018-01-15 22:00:00,12,176,3
2018-01-15 22:00:00,14,102,4
2018-01-15 23:00:00,21,176,3
2018-01-15 23:00:00,21,188,4
2018-01-16 00:00:00,18,244,3
2018-01-16 00:00:00,16,52,4
2018-01-16 01:00:00,15,198,3
2018-01-16 01:00:00,11,52,4
2018-01-16 02:00:00,19,202,3
2018-01-16 02:00:00,25,232,4
2018-01-16 03:00:00,9,176,3
2018-01-16 03:00:00,21,236,4
2018-01-16 04:00:00,7,44,3
2018-01-16 04:00:00,30,286,4
2018-01-16 05:00:00,14,512,3
2018-01-16 05:00:00,37,828,4
2018-01-16 06:00:00,16,182,3
2018-01-16 06:00:00,25,192,4
2018-01-16 07:00:00,16,188,3
2018-01-16 07:00:00,29,232,4
2018-01-16 08:00:00,13,172,3
2018-01-16 08:00:00,40,252,4
2018-01-16 09:00:00,11,86,3
2018-01-16 09:00:00,36,412,4
2018-01-16 10:00:00,11,276,3
2018-01-16 10:00:00,20,142,4
2018-01-16 11:00:00,24,420,3
2018-01-16 11:00:00,34,298,4
2018-01-16 12:00:00,15,226,3
2018-01-16 12:00:00,21,132,4
2018-01-16 13:00:00,14,150,3
2018-01-16 13:00:00,50,654,4
2018-01-16 14:00:00,24,420,3
2018-01-16 14:00:00,40,294,4
2018-01-16 15:00:00,17,202,3
2018-01-16 15:00:00,20,444,4
2018-01-16 16:00:00,15,160,3
2018-01-16 16:00:00,22,200,4
2018-01-16 17:00:00,15,250,3
2018-01-16 17:00:00,37,278,4
2018-01-16 18:00:00,12,122,3
2018-01-16 18:00:00,37,338,4
2018-01-16 19:00:00,14,134,3
2018-01-16 19:00:00,25,102,4
2018-01-16 20:00:00,21,380,3
2018-01-16 20:00:00,63,762,4
2018-01-16 21:00:00,9,80,3
2018-01-16 21:00:00,53,332,4
2018-01-16 22:00:00,16,178,3
2018-01-16 22:00:00,71,1042,4
2018-01-16 23:00:00,17,208,3
2018-01-16 23:00:00,60,596,4
2018-01-17 00:00:00,22,224,3
2018-01-17 00:00:00,97,1542,4
2018-01-17 01:00:00,16,162,3
2018-01-17 01:00:00,25,262,4
2018-01-17 02:00:00,15,204,3
2018-01-17 02:00:00,9,2268,4
2018-01-17 03:00:00,28,300,3
2018-01-17 03:00:00,19,100,4
2018-01-17 04:00:00,8,120,3
2018-01-17 04:00:00,16,134,4
2018-01-17 05:00:00,15,200,3
2018-01-17 05:00:00,23,248,4
2018-01-17 06:00:00,18,224,3
2018-01-17 06:00:00,20,178,4
2018-01-17 07:00:00,13,140,3
2018-01-17 07:00:00,24,270,4
2018-01-17 08:00:00,11,124,3
2018-01-17 08:00:00,28,330,4
2018-01-17 09:00:00,31,214,3
2018-01-17 09:00:00,12,100,4
2018-01-17 10:00:00,12,190,3
2018-01-17 10:00:00,22,210,4
2018-01-17 11:00:00,15,134,3
2018-01-17 11:00:00,15,136,4
2018-01-17 12:00:00,13,116,3
2018-01-17 12:00:00,10,98,4
2018-01-17 13:00:00,17,212,3
2018-01-17 13:00:00,10,90,4
2018-01-17 14:00:00,15,216,3
2018-01-17 14:00:00,13,94,4
2018-01-17 15:00:00,35,308,3
2018-01-17 15:00:00,24,156,4
